iter	MultiRMSE
0	38.93085734
1	37.09303464
2	35.49769716
3	34.14620635
4	32.97819442
5	32.01647314
6	31.20192916
7	30.53116564
8	29.93940872
9	29.46417286
10	29.064693
11	28.70082457
12	28.41963585
13	28.16830916
14	27.96356799
15	27.77031216
16	27.61203437
17	27.48799829
18	27.38311098
19	27.28537754
20	27.19898316
21	27.13032602
22	27.06405742
23	27.0179454
24	26.9692059
25	26.92586013
26	26.8945359
27	26.86884229
28	26.82908909
29	26.79822021
30	26.77894672
31	26.75259853
32	26.73433461
33	26.71417033
34	26.69195992
35	26.67046469
36	26.65477648
37	26.63876034
38	26.61991269
39	26.6097187
40	26.59692513
41	26.5808134
42	26.56779506
43	26.55526506
44	26.5489108
45	26.54098842
46	26.52508053
47	26.51592107
48	26.50691415
49	26.497823
50	26.48870728
51	26.47921197
52	26.46825429
53	26.46064569
54	26.45437533
55	26.44299889
56	26.43798063
57	26.43374426
58	26.41896258
59	26.40960405
60	26.40209767
61	26.39917432
62	26.39547701
63	26.38655397
64	26.38114192
65	26.37199822
66	26.36649778
67	26.36029214
68	26.35272654
69	26.34483729
70	26.33463775
71	26.31432771
72	26.3076483
73	26.3016353
74	26.2883378
75	26.28013818
76	26.27428526
77	26.2650887
78	26.26228662
79	26.2532933
80	26.24963609
81	26.23817315
82	26.23466399
83	26.22822402
84	26.22335499
85	26.21787835
86	26.20954715
87	26.20112233
88	26.19454169
89	26.19071381
90	26.18532921
91	26.18172518
92	26.17880907
93	26.16862368
94	26.15863234
95	26.15268919
96	26.14602659
97	26.14303485
98	26.13819316
99	26.13454318
100	26.1280264
101	26.11498196
102	26.11239385
103	26.10436891
104	26.10021454
105	26.09323211
106	26.08954716
107	26.08395949
108	26.08081318
109	26.07832921
110	26.07062053
111	26.06421774
112	26.05998122
113	26.0554583
114	26.04278967
115	26.0342305
116	26.02986258
117	26.02426442
118	26.02036231
119	26.01652587
120	26.01043309
121	26.00291946
122	25.99485965
123	25.98874273
124	25.97848375
125	25.97256279
126	25.96959666
127	25.9649066
128	25.96159591
129	25.95661232
130	25.95047068
131	25.94446731
132	25.93845872
133	25.93436224
134	25.92258933
135	25.91704431
136	25.91369937
137	25.90870509
138	25.90135039
139	25.89199445
140	25.88599991
141	25.87902642
142	25.87128747
143	25.86751119
144	25.85504406
145	25.85216939
146	25.8460985
147	25.8384857
148	25.83538797
149	25.83138378
150	25.82743613
151	25.8230695
152	25.82086354
153	25.81615045
154	25.80869819
155	25.80204599
156	25.79560612
157	25.79139448
158	25.78642162
159	25.7809911
160	25.77448212
161	25.77215526
162	25.76424033
163	25.76097218
164	25.75622745
165	25.74881534
166	25.74129896
167	25.73455208
168	25.73069852
169	25.72687078
170	25.72016691
171	25.7136523
172	25.70720364
173	25.70339451
174	25.70080573
175	25.69525261
176	25.68972789
177	25.68487676
178	25.67857535
179	25.67397284
180	25.66734983
181	25.66241317
182	25.65800026
183	25.64874114
184	25.64391524
185	25.63839579
186	25.63355708
187	25.63008455
188	25.62589423
189	25.62041487
190	25.61429258
191	25.60835645
192	25.60281075
193	25.59882677
194	25.59344787
195	25.59029681
196	25.58676286
197	25.58202624
198	25.57576002
199	25.56949971
200	25.56552158
201	25.55695174
202	25.55150149
203	25.54939323
204	25.54735016
