iter	Passed	Remaining
0	62	124846
1	72	72809
2	83	55298
3	92	45913
4	103	41214
5	114	38095
6	127	36304
7	139	34782
8	150	33381
9	161	32123
10	172	31236
11	185	30685
12	196	29990
13	208	29530
14	218	28934
15	229	28489
16	240	28054
17	252	27814
18	266	27802
19	278	27570
20	289	27319
21	301	27066
22	313	26949
23	324	26740
24	337	26640
25	347	26399
26	358	26163
27	368	25980
28	378	25718
29	387	25445
30	396	25185
31	407	25043
32	417	24863
33	425	24632
34	435	24435
35	445	24284
36	455	24188
37	465	24058
38	477	24015
39	489	23966
40	499	23861
41	507	23669
42	518	23593
43	529	23517
44	539	23447
45	549	23335
46	558	23225
47	567	23070
48	574	22863
49	581	22670
50	587	22449
51	592	22203
52	600	22063
53	609	21954
54	620	21946
55	633	21979
56	644	21962
57	654	21927
58	666	21940
59	676	21877
60	687	21857
61	700	21909
62	711	21876
63	719	21779
64	730	21745
65	738	21649
66	746	21538
67	754	21430
68	761	21310
69	771	21262
70	780	21216
71	792	21225
72	802	21174
73	813	21163
74	824	21174
75	836	21169
76	847	21160
77	858	21146
78	869	21133
79	881	21149
80	892	21155
81	903	21143
82	915	21139
83	929	21202
84	942	21226
85	955	21260
86	967	21282
87	979	21273
88	989	21242
89	1000	21224
90	1010	21205
91	1020	21170
92	1030	21129
93	1041	21118
94	1053	21116
95	1066	21157
96	1079	21175
97	1090	21161
98	1101	21147
99	1112	21135
100	1124	21137
101	1135	21124
102	1147	21128
103	1159	21133
104	1168	21094
105	1179	21075
106	1190	21056
107	1199	21009
108	1209	20976
109	1219	20958
110	1231	20949
111	1241	20930
112	1248	20850
113	1257	20804
114	1268	20789
115	1279	20773
116	1289	20755
117	1299	20726
118	1308	20688
119	1319	20679
120	1330	20654
121	1339	20615
122	1347	20566
123	1356	20516
124	1365	20485
125	1372	20414
126	1380	20360
127	1388	20301
128	1395	20247
129	1404	20204
130	1411	20136
131	1417	20066
132	1424	19991
133	1432	19953
134	1441	19915
135	1451	19898
136	1461	19867
137	1471	19852
138	1480	19820
139	1490	19804
140	1500	19784
141	1509	19750
142	1519	19728
143	1529	19712
144	1538	19681
145	1548	19658
146	1556	19622
147	1567	19610
148	1577	19597
149	1587	19574
150	1598	19567
151	1608	19557
152	1619	19544
153	1629	19535
154	1640	19532
155	1651	19522
156	1663	19529
157	1674	19519
158	1685	19516
159	1696	19510
160	1709	19526
161	1719	19510
162	1729	19489
163	1739	19470
164	1748	19440
165	1756	19402
166	1764	19367
167	1775	19356
168	1784	19332
169	1791	19288
170	1799	19243
171	1805	19183
172	1810	19123
173	1820	19102
174	1829	19073
175	1838	19056
176	1847	19024
177	1854	18984
178	1861	18936
179	1867	18877
180	1872	18814
181	1877	18757
182	1887	18737
183	1896	18712
184	1905	18694
185	1915	18685
186	1924	18654
187	1934	18641
188	1945	18639
189	1954	18620
190	1965	18612
191	1973	18580
192	1983	18571
193	1993	18553
194	2002	18539
195	2013	18536
196	2023	18515
197	2033	18503
198	2041	18479
199	2052	18468
200	2063	18465
201	2072	18447
202	2080	18420
203	2087	18379
204	2094	18337
205	2100	18296
206	2107	18252
207	2113	18208
208	2122	18186
209	2132	18173
210	2142	18163
211	2153	18163
212	2164	18155
213	2175	18152
214	2185	18147
215	2196	18143
216	2206	18133
217	2219	18141
218	2228	18126
219	2241	18134
220	2252	18128
221	2263	18128
222	2275	18128
223	2286	18132
224	2298	18129
225	2308	18120
226	2320	18127
227	2332	18131
228	2345	18142
229	2357	18145
230	2370	18151
231	2380	18140
232	2392	18140
233	2402	18133
234	2415	18144
235	2426	18135
236	2436	18124
237	2447	18121
238	2455	18092
239	2464	18075
240	2474	18059
241	2485	18054
242	2495	18041
243	2503	18014
244	2513	18004
245	2524	18000
246	2533	17979
247	2541	17954
248	2547	17916
249	2554	17881
250	2560	17841
251	2565	17798
252	2570	17752
253	2576	17709
254	2581	17666
255	2587	17627
256	2595	17604
257	2604	17587
258	2614	17575
259	2624	17561
260	2636	17566
261	2646	17553
262	2656	17546
263	2666	17531
264	2677	17527
265	2688	17524
266	2698	17512
267	2709	17512
268	2720	17506
269	2729	17489
270	2737	17464
271	2743	17428
272	2749	17390
273	2755	17356
274	2763	17332
275	2772	17319
276	2781	17303
277	2791	17293
278	2800	17275
279	2807	17249
280	2817	17234
281	2826	17217
282	2836	17210
283	2845	17193
284	2854	17174
285	2863	17158
286	2871	17137
287	2880	17121
288	2890	17112
289	2901	17108
290	2911	17101
291	2921	17090
292	2933	17090
293	2944	17085
294	2954	17074
295	2964	17067
296	2976	17068
297	2989	17072
298	3001	17072
299	3011	17065
300	3021	17056
301	3030	17041
302	3039	17024
303	3048	17007
304	3059	17004
305	3069	16993
306	3081	16991
307	3093	16995
308	3103	16981
309	3111	16964
310	3119	16942
311	3129	16933
312	3137	16909
313	3148	16904
314	3158	16895
